"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Execute Post requests using rest-assured","0","0","6","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Execute Get requests using rest-assured","0","0","2","0","0"
"Rest Assured POC - Example Tests","Writing End to End tests using rest-assured","End to End tests using rest-assured","0","0","6","0","0"
"Rest Assured POC - Example Tests","JSON Schema Validation using rest-assured","JSON Schema Validation using rest-assured","0","0","5","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Writing API Tests using rest assured configurations","0","0","1","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","String related Assertions using Hamcrest in rest assured","0","0","5","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Perform Authentication using rest-assured","0","0","2","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Builder Pattern Example using rest assured","0","0","1","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Execute Patch requests using rest-assured","0","0","2","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Number related Assertions using Hamcrest in rest assured","0","0","3","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Execute Delete requests using rest-assured","0","0","1","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Uploading file using rest assured","0","0","1","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Extracting response data using JsonPath","0","0","1","0","0"
"Rest Assured POC - Example Tests","","Performing SOAP API Tests using Rest-Assured","0","0","1","0","0"
"Rest Assured POC - Example Tests","Performing different API Tests using Rest-Assured","Checking response headers using rest-assured","0","0","1","0","0"
