"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Example test for checking json schema for new booking - Post request","2452","testCreateBookingJsonSchema","Restful Booker Test Suite","Fri Oct 24 11:50:03 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateBookingJsonSchema"
"Example test for updating a booking partially- Patch request","45","updatePartialBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for fetching token value - Post request","75","testTokenGeneration","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"","15","testDeleteAllOrders","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteAllOrders"
"Example test for creating new booking - Post request","2606","createBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:03 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"Example test for retrieving a booking - Get request","155","getBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"","109","testCreateToken","Restful ECommerce Test Suite","Fri Oct 24 11:50:07 UTC 2025","passed","Fri Oct 24 11:50:07 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateToken"
"","11","testGetDeletedOrder","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetDeletedOrder"
"","35","testGetAllOrders","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetAllOrders"
"","43","testGetOrder","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testGetOrder"
"Example test for checking json schema after getting a booking - get request","57","testGetBookingJsonSchema","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testGetBookingJsonSchema"
"Example test for checking json schema for token authentication - Post request","45","testCreateJsonSchema","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testCreateJsonSchema"
"","29","testUpdateOrder","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testUpdateOrder"
"","69","testCreateOrder","Restful ECommerce Test Suite","Fri Oct 24 11:50:07 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testCreateOrder"
"","163","testUploadImage","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testUploadImage"
"Example test for updating a booking partially- Patch request","41","updatePartialBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updatePartialBookingTest"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","23","checkBookingIsDeleted","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"","49","testCreateToken","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.ImageUploadTest","Restful ECommerce Image Upload test","restfulecommerce.endtoend.ImageUploadTest","testCreateToken"
"Example test for checking json schema after updating a booking partially - Patch request","52","testUpdatePartialBookingJsonSchema","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdatePartialBookingJsonSchema"
"Example test for fetching token value - Post request","65","testTokenGeneration","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","testTokenGeneration"
"Example test for creating new booking - Post request","2606","createBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:03 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","createBookingTest"
"","50","updatePartialOrderTest","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","updatePartialOrderTest"
"Example test for retrieving a booking - Get request","117","getBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","getBookingTest"
"Example test for checking json schema after updating a booking - Put request","48","testUpdateBookingJsonSchema","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.JsonSchemaValidationTest","Restful Booker JSON Schema Validation tests for GitHub Actions","com.restfulbooker.JsonSchemaValidationTest","testUpdateBookingJsonSchema"
"Example test for updating a booking - Put request","108","updateBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"","16","testDeleteOrder","Restful ECommerce Test Suite","Fri Oct 24 11:50:08 UTC 2025","passed","Fri Oct 24 11:50:08 UTC 2025","restfulecommerce.endtoend.RestfulEcommerceE2ETests","Restful ECommerce End to End tests","restfulecommerce.endtoend.RestfulEcommerceE2ETests","testDeleteOrder"
"Example test for checking if booking is deleted by retrieving a deleted booking - Get request","13","checkBookingIsDeleted","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","checkBookingIsDeleted"
"Example test for deleting a booking - Delete request","24","deleteBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on Jenkins","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
"Example test for updating a booking - Put request","114","updateBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","updateBookingTest"
"Printing numbers to words using SOAP API","919","testNumberToWordsAPI","SOAP API Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:07 UTC 2025","soapapitests.NumberToWordsTest","SOAP API Number to Words Test","soapapitests.NumberToWordsTest","testNumberToWordsAPI"
"Example test for deleting a booking - Delete request","17","deleteBookingTest","Restful Booker Test Suite","Fri Oct 24 11:50:06 UTC 2025","passed","Fri Oct 24 11:50:06 UTC 2025","com.restfulbooker.RestfulBookerE2ETests","Restful Booker tests on GitHub Actions","com.restfulbooker.RestfulBookerE2ETests","deleteBookingTest"
